id,hour,minute,second
366472,23,47,0
366470,23,47,0
366476,23,47,0
366471,23,47,0
366475,23,47,0
366477,23,47,0
366473,23,47,0
366474,23,47,0
366478,23,47,0
366480,23,47,0
366481,23,47,0
366479,23,47,0
366483,23,47,0
366484,23,47,0
366485,23,47,0
366482,23,47,0
366486,23,47,0
366487,23,47,0
366488,23,47,0
366489,23,47,0
366492,23,47,0
366490,23,47,0
366494,23,47,0
366493,23,47,0
366491,23,47,0
366495,23,47,0
366496,23,47,0
366497,23,47,0
366498,23,47,0
366502,23,47,0
366499,23,47,0
366500,23,47,0
366503,23,47,0
366501,23,47,0
366506,23,47,1
366504,23,47,0
366505,23,47,1
366507,23,47,1
366508,23,47,1
366512,23,47,1
366510,23,47,1
366511,23,47,1
366513,23,47,1
366509,23,47,1
366515,23,47,1
366517,23,47,1
366516,23,47,1
366514,23,47,1
366518,23,47,1
366520,23,47,1
366522,23,47,1
366521,23,47,1
366519,23,47,1
366523,23,47,1
366525,23,47,1
366526,23,47,1
366527,23,47,1
366524,23,47,1
366528,23,47,1
366531,23,47,1
366529,23,47,1
366536,23,47,1
366534,23,47,1
366538,23,47,1
366535,23,47,1
366532,23,47,1
366530,23,47,1
366533,23,47,1
366537,23,47,1
366539,23,47,1
366541,23,47,1
366543,23,47,1
366540,23,47,1
366545,23,47,1
366542,23,47,1
366544,23,47,1
366548,23,47,1
366547,23,47,1
366546,23,47,1
366549,23,47,2
366552,23,47,2
366550,23,47,2
366555,23,47,2
366557,23,47,2
366551,23,47,2
366558,23,47,2
366553,23,47,2
366554,23,47,2
366556,23,47,2
366559,23,47,2
366563,23,47,2
366561,23,47,2
366562,23,47,2
366560,23,47,2
366565,23,47,2
366566,23,47,2
366564,23,47,2
366567,23,47,2
366568,23,47,2
