grain_stream,root_stream,sub_stream
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F30.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F31.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F32.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F33.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F34.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F35.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F36.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F37.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F38.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F39.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F40.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F41.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F42.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F43.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F44.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F45.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F46.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F47.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F48.json.bz2,8,24
//archive.org/download/archiveteam-twitter-stream-2018-07/twitter-2018-07-31.tar/2018%2F07%2F31%2F00%2F49.json.bz2,8,24
